prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
bertie_C2,52,1,156,0,0,
bertie_WH,183,3,135,0,1,
bertie_IW,11,0,122,0,1,
bertie_M1,140,2,118,0,1,
bertie_C1,169,5,105,1,1,
bertie_WD,44,2,273,0,0,
bertie_MH,115,5,107,0,1,
bertie_W2,271,3,9,0,3,
bertie_M2,131,5,212,0,2,
bertie_W1,235,8,468,0,3,
bertie_RX,105,3,366,0,1,
brunswick_2,1922,115,1552,8,27,
brunswick_5,1617,81,702,5,19,
brunswick_1,634,20,469,1,6,
brunswick_ABSENTEE MAIL,1383,57,930,2,33,
brunswick_3,394,28,517,2,3,
brunswick_6,631,23,336,1,6,
brunswick_04B1,1450,89,937,5,27,
brunswick_04A,3146,155,2354,10,47,
brunswick_04C1,1094,63,816,1,14,
brunswick_CURBSIDE,585,8,420,1,5,
brunswick_8,2055,92,1238,1,35,
brunswick_22,1180,70,541,3,6,
brunswick_10A,1555,50,731,2,20,
brunswick_21,2146,105,773,9,16,
brunswick_18,879,22,278,1,2,
brunswick_13,1390,46,622,1,16,
brunswick_9,487,20,285,1,6,
brunswick_23,1224,59,557,3,17,
brunswick_15,2657,75,1116,9,33,
brunswick_17,2384,63,1392,6,24,
brunswick_10B,2269,80,1417,4,48,
brunswick_12,1444,46,558,3,9,
brunswick_7,1321,62,836,3,23,
brunswick_16,2184,65,1004,3,32,
brunswick_20,1636,49,533,5,18,
brunswick_11,741,31,670,0,10,
brunswick_14,2119,70,759,1,16,
brunswick_19,1993,58,848,5,17,
ashe_17,295,9,46,0,2,
ashe_4,127,5,44,0,2,
ashe_7,119,2,38,0,1,
ashe_12,261,5,72,0,3,
ashe_15,284,5,58,0,5,
ashe_20,588,24,176,0,13,
ashe_10,71,2,21,0,2,
ashe_ABSENTEE,295,18,165,0,4,
ashe_8,47,2,27,0,1,
ashe_16,356,23,82,0,7,
ashe_14,333,7,100,0,6,
ashe_2,349,16,90,0,10,
ashe_11,485,21,130,0,11,
ashe_13,298,12,88,0,4,
ashe_18,64,0,12,0,0,
ashe_9,591,20,208,0,5,
ashe_6,163,2,40,0,4,
ashe_3,186,10,24,0,6,
beaufort_ABSENTEE,322,15,220,2,11,
beaufort_WASH4,229,15,161,0,7,
beaufort_PSJW3,40,4,258,0,7,
beaufort_AUROR,157,8,153,0,1,
beaufort_OS BOE,6972,158,4648,11,75,
beaufort_CHOCO,415,19,256,0,5,
beaufort_OS AUR,266,6,316,0,0,
beaufort_WASH1,117,11,228,4,2,
beaufort_SURBA,580,5,121,0,5,
beaufort_PANTE,274,11,139,0,2,
beaufort_GILEA,179,12,93,0,2,
beaufort_NCRK,407,7,111,0,3,
beaufort_PINET,369,7,32,0,2,
beaufort_HB,279,7,25,1,4,
beaufort_WDPD,339,13,72,1,3,
beaufort_RVRD,339,17,148,0,4,
beaufort_TCRK,462,21,130,1,18,
beaufort_OLDF,217,8,154,0,3,
beaufort_BELHV,224,12,212,1,3,
beaufort_OS CHO,724,22,291,2,4,
beaufort_OS BEL,542,8,338,0,3,
beaufort_WASHP,249,12,99,0,6,
beaufort_BEADM,394,7,58,0,2,
beaufort_WASH2,74,3,189,0,3,
beaufort_EDWAR,181,8,130,2,3,
beaufort_BLCK,150,7,140,0,1,
burke_21,632,28,259,3,8,
burke_0047-B,526,22,325,5,7,
burke_66,868,30,353,3,9,
burke_62,412,12,143,4,8,
burke_11,1506,54,252,5,12,
burke_14,1092,26,168,4,7,
burke_39,548,20,530,7,8,
burke_51,1511,68,665,1,20,
burke_12,1147,12,137,0,6,
burke_36,917,21,354,5,11,
burke_65,560,17,143,2,1,
burke_19,265,5,153,0,2,
burke_0029-A,627,16,116,1,11,
burke_31,460,45,777,13,13,
burke_34,632,64,664,4,25,
burke_53,1076,31,292,4,10,
burke_38,867,36,507,5,18,
burke_18,244,5,111,0,3,
burke_13,1549,60,288,4,7,
burke_40,771,37,346,3,10,
burke_1,1454,54,596,2,27,
burke_24,1180,43,489,4,16,
burke_0047-A,713,31,652,8,16,
burke_35,436,27,508,5,9,
burke_52,561,21,270,4,3,
burke_3,627,19,162,0,3,
burke_48,895,37,536,5,13,
burke_ABSENTEE,0,0,0,0,0,
burke_22,947,36,291,3,10,
burke_20,373,18,268,2,14,
burke_15,747,23,188,4,3,
burke_64,401,11,125,0,5,
burke_0029-B,525,18,163,4,1,
burke_70,1169,41,420,5,8,
anson_POLK,202,3,129,0,1,
anson_W1,132,3,320,0,4,
anson_GULL,174,4,132,0,0,
anson_ANS,251,9,209,0,2,
anson_PEAC,431,8,111,0,7,
anson_BURN,441,15,123,0,3,
anson_MM,92,2,255,0,2,
anson_WS,89,0,61,0,3,
anson_ABSENTEE,85,7,135,0,2,
anson_W3,185,10,177,0,4,
anson_LILE,278,9,263,0,2,
anson_W2,102,5,150,0,2,
bladen_P25,191,10,168,1,2,
bladen_P75,123,3,203,0,0,
bladen_P502,94,4,150,0,1,
bladen_P55,174,3,111,0,2,
bladen_P65,151,7,51,0,0,
bladen_P30,68,5,143,0,1,
bladen_MAIL ABSENTEE,389,18,627,1,1,
bladen_P70,97,1,60,0,0,
bladen_P201,185,6,60,0,0,
bladen_P501,159,4,273,0,2,
bladen_P15,359,12,158,1,7,
bladen_P35,81,2,74,0,4,
bladen_P60,187,10,215,0,2,
bladen_P202,269,3,164,0,2,
bladen_P45,145,9,60,0,0,
bladen_P40,248,7,93,1,1,
bladen_P80,221,2,118,0,3,
bladen_P10,141,3,117,0,2,
alleghany_03A,1663,69,688,0,34,
alleghany_ABSENTEE,0,0,0,0,0,
alleghany_4,755,21,176,0,10,
alleghany_1,653,16,177,0,12,
alleghany_CURBSIDE,0,0,0,0,0,
alleghany_06A,743,23,265,0,10,
carteret_NRIV,45,4,92,1,0,
carteret_ATSL,191,4,64,1,1,
carteret_BOGU,459,17,104,2,5,
carteret_IBSP,115,2,39,0,1,
carteret_DASW,152,5,31,0,3,
carteret_NPT2,456,18,77,1,3,
carteret_MASM,187,7,63,0,2,
carteret_BFT2,314,19,152,0,8,
carteret_PKNL,326,14,133,0,2,
carteret_HAIS,280,4,42,2,0,
carteret_OS-BOE,4080,131,2251,8,34,
carteret_EMIS,544,16,158,2,6,
carteret_CISL,86,0,13,0,0,
carteret_ABSENTEE,807,47,424,3,17,
carteret_MHD3,510,23,176,1,5,
carteret_MHD4,390,20,103,0,8,
carteret_NPT1,543,30,144,2,10,
carteret_WILD,416,23,139,3,7,
carteret_PELE,201,11,45,1,6,
carteret_OS-CEN,5090,152,1509,10,49,
carteret_MHD1,297,20,122,0,4,
carteret_MCRK,201,6,17,2,1,
carteret_MHD2,325,17,154,2,2,
carteret_BFT1,86,14,140,6,5,
carteret_OTBE,371,21,60,1,2,
carteret_MERR,136,0,55,0,0,
carteret_ABCH,323,15,86,1,1,
carteret_BCRK,443,24,82,1,3,
carteret_CCCP,364,17,73,4,6,
carteret_WIHA,254,8,62,3,1,
carteret_STEL,343,20,71,1,4,
carteret_OS-EAS,467,3,98,1,5,
carteret_OS-MHD,3201,107,1788,11,36,
carteret_OS-WES,4384,84,1320,11,37,
alexander_T1T4T5,2049,55,626,4,15,
alexander_E,1328,44,361,1,21,
alexander_B1,1669,47,419,4,23,
alexander_G1G2,924,21,240,0,12,
alexander_S1S2,1528,50,368,3,18,
alexander_W,1026,26,206,1,7,
alexander_T2T3,1339,59,560,1,22,
alexander_M,892,23,264,2,5,
alexander_B2,1931,82,483,7,12,
alexander_LRSL,1207,30,240,0,16,
camden_SH,452,21,74,1,6,
camden_SM,681,23,197,3,7,
camden_ABSENTEE,75,8,37,2,1,
camden_CH,393,24,152,1,4,
chatham_45,224,10,96,1,2,
chatham_24,310,11,26,0,2,
chatham_78,290,24,267,1,24,
chatham_NWM117,230,39,316,1,13,
chatham_3,468,21,130,2,4,
chatham_42,317,18,176,2,6,
chatham_ESC114,269,19,299,0,4,
chatham_30,253,11,102,2,4,
chatham_18,337,14,99,1,0,
chatham_21,261,23,171,3,17,
chatham_15,190,21,197,5,3,
chatham_ABSENTEE,603,54,1040,7,23,
chatham_9,366,18,102,0,1,
chatham_6,377,4,49,0,1,
chatham_85,228,21,189,2,3,
chatham_MCH110,245,38,360,12,17,
chatham_75,529,30,416,0,9,
chatham_20,453,31,186,3,4,
chatham_PIT113,477,46,424,6,20,
cherokee_PCHT,1115,31,306,3,15,
cherokee_GCRK,268,8,39,0,3,
cherokee_HOTH,709,21,171,2,6,
cherokee_ANSW,811,24,217,0,8,
cherokee_MURN,939,47,352,2,8,
cherokee_MARB,757,18,158,3,3,
cherokee_ANNW,754,23,214,1,7,
cherokee_HANG,447,23,67,2,2,
cherokee_RGER,830,32,245,3,11,
cherokee_HIWA,994,24,228,3,9,
cherokee_CSON,486,13,108,4,3,
cherokee_UNKA,315,8,67,4,2,
cherokee_TOPT,272,6,33,0,0,
cherokee_BRAS,440,7,151,1,7,
cherokee_BELL,618,24,195,2,1,
cherokee_MURS,1089,37,309,3,13,
craven_14,1398,38,877,2,10,
craven_19,1073,34,962,3,8,
craven_2,3349,204,1808,5,54,
craven_8,411,6,283,2,6,
craven_5,1289,63,604,1,13,
craven_16,1919,78,762,2,26,
craven_20,1504,51,752,2,18,
craven_15,379,10,203,0,0,
craven_17,1205,55,321,1,12,
craven_12,322,10,36,1,1,
