prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
camden_SH,0,0,0,143,19,347,1,,,
camden_ONESTOP,0,0,0,545,33,702,0,,,
camden_CH,0,0,0,214,29,408,1,,,
carteret_EMIS,0,,,276,34,590,7,,,
carteret_BOGU,7,,,156,25,504,0,,,
carteret_WILD,5,,,172,39,471,1,,,
carteret_ATSL,0,,,87,9,141,0,,,
carteret_PELE,0,,,57,9,192,0,,,
carteret_NPT2,5,,,115,41,484,0,,,
carteret_CISL,0,,,24,12,33,0,,,
carteret_PKNL,0,,,188,13,380,0,,,
carteret_NRIV,0,,,125,7,64,0,,,
carteret_IBSP,0,,,38,7,75,0,,,
carteret_BFT2,3,,,298,36,353,2,,,
carteret_DASW,0,,,56,15,152,0,,,
carteret_MHD3,1,,,321,41,645,0,,,
carteret_MHD4,3,,,202,32,574,4,,,
carteret_STEL,2,,,77,22,281,3,,,
carteret_MHD2,3,,,272,43,432,2,,,
carteret_MCRK,3,,,26,18,147,0,,,
carteret_MHD1,2,,,264,28,468,0,,,
carteret_MERR,0,,,64,11,105,0,,,
carteret_NPT1,3,,,207,52,515,0,,,
carteret_CCCP,1,,,132,43,474,1,,,
carteret_HAIS,0,,,107,22,258,0,,,
carteret_OTBE,0,,,124,38,408,5,,,
carteret_WIHA,0,,,125,32,323,0,,,
carteret_BFT1,0,,,206,15,105,0,,,
carteret_ABCH,0,,,91,23,339,0,,,
carteret_BCRK,4,,,108,26,394,1,,,
carteret_MASM,1,,,78,13,161,1,,,
carteret_ONESTOP,27,,,3307,308,6995,15,,,
caswell_LEAS,0,0,0,167,13,147,0,,,
caswell_YANC,0,0,0,568,38,401,1,,,
caswell_HIGH,0,0,0,235,12,201,0,,,
caswell_LOCU,0,0,0,568,30,335,1,,,
caswell_PELH,0,1,0,481,37,721,1,,,
caswell_ANDE,0,0,0,110,6,274,0,,,
caswell_MILT,0,0,0,657,27,359,0,,,
caswell_STON,0,0,0,347,33,527,1,,,
caswell_PROS,0,0,0,136,11,299,2,,,
caswell_PROVI,0,0,0,172,7,221,0,,,
catawba_21,,0,0,166,38,499,0,,,
catawba_31,,0,1,436,107,1216,2,,,
catawba_12,,0,0,530,16,116,0,,,
catawba_6,,0,1,312,45,721,1,,,
catawba_9,,0,0,185,50,734,1,,,
catawba_10,,0,0,147,13,45,0,,,
catawba_40,,0,1,288,33,355,1,,,
catawba_3,,1,0,252,55,609,2,,,
catawba_4,,0,0,131,15,132,0,,,
catawba_25,,0,0,271,50,359,1,,,
catawba_27,,0,0,321,82,973,4,,,
