WARD,PRECINCT,JOINID,Emanuel_M11,DelValle_M11,Braun_M11,Chico_M11,Watkins_M11,Walls_M11
11,32,C11032,78,9,2,108,0,1
11,33,C11033,91,5,0,63,0,0
11,34,C11034,76,8,15,59,3,2
11,35,C11035,112,30,4,203,0,1
11,36,C11036,44,5,1,16,1,0
11,37,C11037,119,12,1,181,1,1
11,38,C11038,157,20,1,159,0,0
11,39,C11039,169,16,1,178,0,0
11,40,C11040,79,13,0,64,1,0
11,41,C11041,74,9,0,63,0,0
11,42,C11042,85,6,2,95,0,0
11,43,C11043,121,16,0,137,0,2
11,44,C11044,124,31,1,85,1,0
11,45,C11045,53,3,3,69,0,1
11,46,C11046,74,4,5,65,0,2
11,47,C11047,101,19,4,82,0,4
11,48,C11048,39,5,0,63,0,0
11,49,C11049,67,11,1,142,0,0
11,50,C11050,62,17,1,53,0,0
12,1,C12001,27,40,4,65,1,2
12,2,C12002,54,23,4,97,3,0
12,3,C12003,56,34,3,91,0,1
12,4,C12004,33,24,1,86,1,1
12,5,C12005,32,21,0,91,2,0
12,6,C12006,32,35,7,55,0,0
12,7,C12007,70,80,1,98,1,0
12,8,C12008,100,49,5,181,2,1
12,9,C12009,35,19,2,122,0,1
12,10,C12010,60,27,0,115,0,0
12,11,C12011,71,38,3,151,1,0
12,12,C12012,32,32,4,120,1,0
12,13,C12013,106,39,4,150,1,2
12,14,C12014,65,26,3,113,1,1
12,15,C12015,49,32,0,90,1,0
12,16,C12016,44,31,3,109,1,1
12,17,C12017,90,33,25,86,5,3
12,18,C12018,75,43,7,82,3,1
12,19,C12019,72,51,2,138,2,5
12,20,C12020,40,33,1,91,2,1
12,21,C12021,73,24,2,109,0,0
12,22,C12022,38,37,1,56,0,0
12,23,C12023,72,21,2,114,1,3
12,24,C12024,77,44,1,117,1,0
13,1,C13001,116,18,1,132,0,2
13,2,C13002,67,22,5,86,0,2
13,3,C13003,100,43,1,139,0,0
13,4,C13004,149,17,9,259,0,1
13,5,C13005,103,31,1,160,0,1
13,6,C13006,95,37,3,110,0,1
13,7,C13007,89,30,6,104,4,2
13,8,C13008,91,28,0,169,0,0
13,9,C13009,97,19,0,163,0,0
13,10,C13010,77,18,3,115,3,2
13,11,C13011,86,27,7,102,1,0
13,12,C13012,85,28,0,108,3,0
13,13,C13013,110,21,3,158,0,2
13,14,C13014,76,24,3,130,0,1
13,15,C13015,134,48,1,147,0,1
13,16,C13016,125,35,1,145,2,3
13,17,C13017,82,27,2,166,0,0
13,18,C13018,58,31,5,111,3,2
13,19,C13019,126,36,9,122,2,2
13,20,C13020,73,36,1,112,1,0
13,21,C13021,124,19,19,129,2,5
13,22,C13022,79,18,1,112,1,0
13,23,C13023,79,32,1,147,0,0
13,24,C13024,107,28,7,115,0,4
13,25,C13025,92,24,4,126,0,0
13,26,C13026,102,13,0,149,0,1
13,27,C13027,140,22,5,115,0,1
13,28,C13028,77,22,1,111,2,1
13,29,C13029,67,18,2,134,1,0
13,30,C13030,106,53,3,182,2,0
13,31,C13031,94,29,4,128,1,1
13,32,C13032,133,11,33,41,12,2
13,33,C13033,87,20,3,112,0,1
13,34,C13034,132,67,0,152,1,0
13,35,C13035,91,45,1,128,1,0
13,36,C13036,49,9,0,72,0,0
13,37,C13037,109,32,18,96,2,2
13,38,C13038,96,32,7,125,0,1
13,39,C13039,87,25,0,146,0,3
13,40,C13040,100,33,4,143,2,1
13,41,C13041,88,30,5,106,2,0
13,42,C13042,84,27,11,116,3,1
13,43,C13043,95,29,2,153,0,1
13,44,C13044,123,44,3,172,1,1
13,45,C13045,98,24,1,184,0,1
13,46,C13046,113,49,3,133,0,0
13,47,C13047,108,32,4,117,1,1
14,1,C14001,26,10,0,59,0,0
14,2,C14002,58,21,2,105,0,0
14,3,C14003,66,34,9,106,0,0
14,4,C14004,41,24,2,98,1,0
14,5,C14005,45,39,2,146,1,0
14,6,C14006,34,31,1,114,0,0
14,7,C14007,51,21,2,104,0,0
