Precinct_Name,WARD,PRECINCT,JOINID,TOTVOTES,JOYCE,VALLAS,WILSON,PRECKWINKLE,DALEY,MCCARTHY,CHICO,MENDOZA,ENYIA,FORD,SALESGRIFFIN,LIGHTFOOT,FIORETTI,KOZLAR,P_JOYCE,P_VALLAS,P_WISLON,P_PRECKWINKLE,P_DALEY,P_MCCARTHY,P_CHICO,P_MENDOZA,P_ENYIA,P_FORD,P_SALESGRIFFIN,P_LIGHTFOOT,P_FIORETTI,P_KOZLAR,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,PER_NW
Ward 01 Precinct 11,1,11,C01011,322,9,16,5,45,44,4,6,24,54,1,4,107,3,0,0.027950311,0.049689441,0.01552795,0.139751553,0.136645963,0.01242236,0.01863354,0.074534161,0.167701863,0.00310559,0.01242236,0.332298137,0.00931677,0,1370.999986,1079.999987,43.99999856,62.99999857,151.000004,0.787746169,0.032093362,0.045951859,0.110138589,0.212253831
Ward 01 Precinct 12,1,12,C01012,361,10,16,4,55,32,9,23,38,48,4,0,115,4,2,0.027700831,0.04432133,0.011080332,0.152354571,0.088642659,0.024930748,0.063711911,0.105263158,0.132963989,0.011080332,0,0.318559557,0.011080332,0.005540166,1500.000066,1275.000052,23.00000063,43.99999946,129.0000129,0.849999997,0.015333333,0.029333332,0.086000005,0.150000003
Ward 01 Precinct 13,1,13,C01013,159,1,9,7,35,19,6,1,15,27,2,1,32,0,2,0.006289308,0.056603774,0.044025157,0.220125786,0.119496855,0.037735849,0.006289308,0.094339623,0.169811321,0.012578616,0.006289308,0.201257862,0,0.012578616,991.9999697,284.9999934,12.99999994,22.00000035,653.9999762,0.287298389,0.013104839,0.02217742,0.65927419,0.712701611
Ward 01 Precinct 14,1,14,C01014,298,9,11,9,50,51,8,7,22,28,10,0,90,2,0,0.030201342,0.036912752,0.030201342,0.167785235,0.17114094,0.026845638,0.023489933,0.073825503,0.093959732,0.033557047,0,0.302013423,0.006711409,0,1306.000127,789.0000663,140.0000156,125.0000116,215.000031,0.604134755,0.107197551,0.095712098,0.164624816,0.395865245
Ward 01 Precinct 15,1,15,C01015,262,11,16,7,46,23,8,11,29,28,2,0,74,4,1,0.041984733,0.061068702,0.026717557,0.175572519,0.08778626,0.030534351,0.041984733,0.110687023,0.106870229,0.007633588,0,0.282442748,0.015267176,0.003816794,1262.99996,642.9999686,48.99999902,34.00000059,511.9999927,0.509105296,0.038796517,0.026920033,0.405384013,0.490894704
Ward 01 Precinct 16,1,16,C01016,360,13,13,1,68,43,3,19,50,40,0,0,106,2,1,0.036111111,0.036111111,0.002777778,0.188888889,0.119444444,0.008333333,0.052777778,0.138888889,0.111111111,0,0,0.294444444,0.005555556,0.002777778,999.9999964,338.9999979,17.9999998,21.99999984,601.999999,0.338999999,0.018,0.022,0.602000001,0.661000001
Ward 01 Precinct 17,1,17,C01017,286,5,7,8,66,19,7,20,28,43,4,2,70,2,4,0.017482517,0.024475524,0.027972028,0.230769231,0.066433566,0.024475524,0.06993007,0.097902098,0.15034965,0.013986014,0.006993007,0.244755245,0.006993007,0.013986014,1348.999982,383.9999773,111.0000007,6.999999877,828.0000047,0.284655287,0.082283174,0.005189029,0.613788003,0.715344713
Ward 01 Precinct 18,1,18,C01018,309,11,9,14,62,23,3,26,30,59,1,0,67,2,0,0.035598706,0.029126214,0.045307443,0.200647249,0.074433657,0.009708738,0.084142395,0.097087379,0.190938511,0.003236246,0,0.216828479,0.006472492,0,1435.999898,521.9999637,151.9999923,20.99999887,699.9999456,0.36350975,0.105849584,0.014623956,0.487465178,0.63649025
Ward 01 Precinct 19,1,19,C01019,346,23,9,8,53,38,5,13,35,57,2,0,97,1,2,0.066473988,0.026011561,0.023121387,0.153179191,0.10982659,0.014450867,0.037572254,0.101156069,0.164739884,0.005780347,0,0.280346821,0.002890173,0.005780347,1772.999969,576.9999956,59.99999864,45.99999991,1065.999976,0.325437115,0.033840947,0.025944727,0.601240831,0.674562885
Ward 01 Precinct 20,1,20,C01020,240,5,9,7,41,13,2,11,24,62,0,4,60,2,0,0.020833333,0.0375,0.029166667,0.170833333,0.054166667,0.008333333,0.045833333,0.1,0.258333333,0,0.016666667,0.25,0.008333333,0,1108.000007,400.9999996,143.0000034,18.99999997,514.0000039,0.361913355,0.129061374,0.017148014,0.463898918,0.638086645
Ward 01 Precinct 21,1,21,C01021,316,9,12,1,60,49,6,13,24,44,0,4,92,2,0,0.028481013,0.037974684,0.003164557,0.189873418,0.155063291,0.018987342,0.041139241,0.075949367,0.139240506,0,0.012658228,0.291139241,0.006329114,0,1348.000065,1061.000034,37,88.00000501,131.0000218,0.787091975,0.02744807,0.0652819,0.09718102,0.212908025
Ward 01 Precinct 22,1,22,C01022,200,4,3,6,33,33,1,13,24,28,0,0,50,2,2,0.02,0.015,0.03,0.165,0.165,0.005,0.065,0.12,0.14,0,0,0.25,0.01,0.01,1041.999918,248.9999783,37.99999633,32.999997,707.9999499,0.23896353,0.036468329,0.031669865,0.679462577,0.76103647
Ward 01 Precinct 23,1,23,C01023,428,9,18,7,89,34,5,20,33,81,1,1,120,6,4,0.021028037,0.042056075,0.01635514,0.207943925,0.079439252,0.011682243,0.046728972,0.077102804,0.189252336,0.002336449,0.002336449,0.280373832,0.014018692,0.009345794,1733.00003,793.0000103,95.000001,47.00000045,758.0000182,0.457587996,0.054818234,0.0271206,0.437391809,0.542412004
Ward 01 Precinct 24,1,24,C01024,250,10,7,5,58,20,3,15,38,39,3,3,39,5,0,0.04,0.028,0.02,0.232,0.08,0.012,0.06,0.152,0.156,0.012,0.012,0.156,0.02,0,1450.000051,249.0000126,378.0000064,11.00000007,781.0000316,0.171724141,0.260689651,0.007586207,0.538620693,0.828275859
