prec_id,Mark Meadows,Tom Hill,election
henderson_PR,678,335,us_house_of_representatives_district_11
jackson_BCK,329,214,us_house_of_representatives_district_11
jackson_SSW,522,670,us_house_of_representatives_district_11
jackson_CAN,99,87,us_house_of_representatives_district_11
jackson_RIV,181,151,us_house_of_representatives_district_11
jackson_SND,541,676,us_house_of_representatives_district_11
jackson_CAS,667,237,us_house_of_representatives_district_11
jackson_SAV,313,215,us_house_of_representatives_district_11
jackson_CURBSIDE,39,53,us_house_of_representatives_district_11
jackson_GLV,527,179,us_house_of_representatives_district_11
jackson_WEB,413,551,us_house_of_representatives_district_11
jackson_GCK,252,234,us_house_of_representatives_district_11
jackson_CUL,559,779,us_house_of_representatives_district_11
jackson_CFK,142,124,us_house_of_representatives_district_11
jackson_SCC,348,364,us_house_of_representatives_district_11
jackson_QUA,545,513,us_house_of_representatives_district_11
macon_10,129,46,us_house_of_representatives_district_11
macon_4,223,129,us_house_of_representatives_district_11
macon_7,318,127,us_house_of_representatives_district_11
macon_12,352,209,us_house_of_representatives_district_11
macon_15,359,166,us_house_of_representatives_district_11
macon_3,273,150,us_house_of_representatives_district_11
macon_6,262,148,us_house_of_representatives_district_11
macon_13,166,54,us_house_of_representatives_district_11
macon_9,402,227,us_house_of_representatives_district_11
macon_11,460,230,us_house_of_representatives_district_11
macon_2,167,85,us_house_of_representatives_district_11
macon_14,185,66,us_house_of_representatives_district_11
macon_ONESTOP,3272,1978,us_house_of_representatives_district_11
macon_1,258,142,us_house_of_representatives_district_11
macon_5,357,179,us_house_of_representatives_district_11
macon_8,125,32,us_house_of_representatives_district_11
madison_BEECH,688,471,us_house_of_representatives_district_11
madison_LAUREL,214,182,us_house_of_representatives_district_11
madison_MARS H,881,753,us_house_of_representatives_district_11
madison_SPRING,173,206,us_house_of_representatives_district_11
madison_WALNUT,340,257,us_house_of_representatives_district_11
madison_SOUTH,229,254,us_house_of_representatives_district_11
madison_REVERE,51,93,us_house_of_representatives_district_11
madison_NORTH,585,518,us_house_of_representatives_district_11
madison_SANDY,126,112,us_house_of_representatives_district_11
madison_HOT SP,183,220,us_house_of_representatives_district_11
madison_EBBS C,311,179,us_house_of_representatives_district_11
madison_GRAPEV,283,193,us_house_of_representatives_district_11
mcdowell_GLENWD,507,166,us_house_of_representatives_district_11
mcdowell_WEST M,870,340,us_house_of_representatives_district_11
mcdowell_43891,760,350,us_house_of_representatives_district_11
mcdowell_PLEASA,685,234,us_house_of_representatives_district_11
mcdowell_43894,183,106,us_house_of_representatives_district_11
mcdowell_NEBO,775,320,us_house_of_representatives_district_11
mcdowell_FORT 2,264,132,us_house_of_representatives_district_11
mcdowell_T.COVE,274,66,us_house_of_representatives_district_11
mcdowell_M.COVE,517,128,us_house_of_representatives_district_11
mcdowell_FORT 1,363,192,us_house_of_representatives_district_11
mcdowell_HIGGIN,332,133,us_house_of_representatives_district_11
mcdowell_N.COVE,256,74,us_house_of_representatives_district_11
mcdowell_CCREEK,693,295,us_house_of_representatives_district_11
mcdowell_43892,256,287,us_house_of_representatives_district_11
mcdowell_43893,204,112,us_house_of_representatives_district_11
mcdowell_43895,212,85,us_house_of_representatives_district_11
mcdowell_DYSART,561,200,us_house_of_representatives_district_11
mitchell_2,134,13,us_house_of_representatives_district_11
mitchell_5,266,55,us_house_of_representatives_district_11
mitchell_8,140,31,us_house_of_representatives_district_11
mitchell_1,462,154,us_house_of_representatives_district_11
mitchell_4,2018,611,us_house_of_representatives_district_11
mitchell_7,66,11,us_house_of_representatives_district_11
mitchell_3,247,49,us_house_of_representatives_district_11
mitchell_6,255,49,us_house_of_representatives_district_11
mitchell_9,434,161,us_house_of_representatives_district_11
swain_BC2,561,540,us_house_of_representatives_district_11
