prec_id,Christian Cano,Robert Pittenger,election
union_23,422,1098,us_house_of_representatives_district_9
union_037A,1250,2140,us_house_of_representatives_district_9
union_43,469,93,us_house_of_representatives_district_9
union_31,877,1561,us_house_of_representatives_district_9
union_32,584,1726,us_house_of_representatives_district_9
union_037B,286,889,us_house_of_representatives_district_9
union_020B,794,2040,us_house_of_representatives_district_9
union_038B,565,1159,us_house_of_representatives_district_9
union_CURBSIDE,0,0,us_house_of_representatives_district_9
union_1,415,207,us_house_of_representatives_district_9
union_028A,1118,2421,us_house_of_representatives_district_9
union_028B,823,1873,us_house_of_representatives_district_9
union_020A,1057,1698,us_house_of_representatives_district_9
union_30,1039,1976,us_house_of_representatives_district_9
union_017B,903,2196,us_house_of_representatives_district_9
union_8,926,682,us_house_of_representatives_district_9
union_029C,452,1076,us_house_of_representatives_district_9
union_6,267,1005,us_house_of_representatives_district_9
union_11,216,1643,us_house_of_representatives_district_9
union_21,339,1354,us_house_of_representatives_district_9
union_017A,680,1543,us_house_of_representatives_district_9
union_14,275,655,us_house_of_representatives_district_9
